"tract","Name","Employment_Rate_rP_gP_p25"
17031060400,"Lake View, Chicago, IL",0.8008
17031340300,"South Side, Chicago, IL",0.8005
17031730100,"South Side, Chicago, IL",0.8003
17031381500,"Bronzeville, Chicago, IL",0.8003
17031823805,"Palos Hills, IL",0.7998
17031062600,"West Lakeview, Chicago, IL",0.7985
17031720300,"South Side, Chicago, IL",0.7978
17031740100,"South Side, Chicago, IL",0.7977
17031823102,"Worth, IL",0.7975
18089030700,"East Chicago, IN",0.7958
17031170100,"Dunning, Chicago, IL",0.7958
17031340400,"Armour Square, Chicago, IL",0.7957
18089030500,"East Chicago, IN",0.7948
17031824506,"Oak Forest, IL",0.7947
17031770202,"Elk Grove Village, IL",0.7942
17031222600,"Logan Square, Chicago, IL",0.7932
17031060500,"Wrigleyville, Chicago, IL",0.7927
17031241100,"Humboldt Park, Chicago, IL",0.7923
17043845000,"Westmont, IL",0.7921
17043845810,"Darien, IL",0.792
17031740400,"Mount Greenwood, Chicago, IL",0.7912
17031050500,"North Center, Chicago, IL",0.791
17031840200,"Bridgeport, Chicago, IL",0.7902
17031100700,"Norwood Park, Chicago, IL",0.7901
17031350100,"Bronzeville, Chicago, IL",0.79
17031819500,"La Grange, IL",0.7887
17043842800,"Elmhurst, IL",0.7879
17031222500,"Logan Square, Chicago, IL",0.7874
17031240500,"West Town, Chicago, IL",0.7872
17031824601,"Midlothian, IL",0.7872
17031081900,"Cabrini-Green, Chicago, IL",0.7869
17031600600,"Bridgeport, Chicago, IL",0.7868
17031040100,"Lincoln Square, Chicago, IL",0.7867
17031210800,"Avondale, Chicago, IL",0.7861
17043840202,"Addison, IL",0.786
17031826401,"Dolton, IL",0.786
17031220500,"Logan Square, Chicago, IL",0.7855
17031843900,"South Side, Chicago, IL",0.7853
18089030900,"East Chicago, IN",0.7852
17031814000,"Cicero, IL",0.7838
17031843100,"Lawndale, Chicago, IL",0.7827
17031823400,"Blue Island, IL",0.7815
17031140301,"Albany Park, Chicago, IL",0.7811
17031120100,"Forest Glen, Chicago, IL",0.7807
17031070200,"Lincoln Park, Chicago, IL",0.7805
17031250400,"Austin, Chicago, IL",0.7803
17031817300,"Maywood, IL",0.7802
17031430800,"South Side, Chicago, IL",0.7801
17031340500,"Armour Square, Chicago, IL",0.78
17031813900,"Cicero, IL",0.7799
17197881001,"Lockport, IL",0.7798
17031480200,"South Side, Chicago, IL",0.7797
17031490500,"Roseland, Chicago, IL",0.7794
17031530300,"South Side, Chicago, IL",0.7788
17031842300,"West Town, Chicago, IL",0.7786
17031200401,"Hermosa, Chicago, IL",0.7784
18089030200,"East Chicago, IN",0.7783
17031220701,"Logan Square, Chicago, IL",0.7773
17031823002,"Chicago Ridge, IL",0.7772
17031090100,"Edison Park, Chicago, IL",0.7769
17031650302,"South Side, Chicago, IL",0.7769
17031283200,"University Village / Little Italy, Chicago, IL",0.7768
17031813200,"Oak Park, IL",0.7758
17031250600,"Austin, Chicago, IL",0.7754
17031691000,"South Side, Chicago, IL",0.7754
17031540102,"Golden Gate, Chicago, IL",0.7753
17031843700,"North Center, Chicago, IL",0.7752
17031241500,"West Town, Chicago, IL",0.7747
17031815400,"Berwyn, IL",0.7746
17031030800,"Edgewater, Chicago, IL",0.7743
17031140702,"Albany Park, Chicago, IL",0.7742
17031830900,"Logan Square, Chicago, IL",0.7742
17031805112,"Des Plaines, IL",0.7741
17031815701,"Riverside, IL",0.7737
17031808302,"Morton Grove, IL",0.7732
17031821401,"Calumet Park, IL",0.7729
17031580700,"Brighton Park, Chicago, IL",0.7729
17031812801,"Oak Park, IL",0.7726
17031671900,"Englewood, Chicago, IL",0.7726
17031820104,"Countryside, IL",0.7726
17031130200,"North Park, Chicago, IL",0.7723
17031770201,"Elk Grove Village, IL",0.7723
17031670500,"Englewood, Chicago, IL",0.7721
17043844801,"Downers Grove, IL",0.7719
17031230800,"Humboldt Park, Chicago, IL",0.7714
17031810301,"Evanston, IL",0.7714
17031081800,"River North, Chicago, IL",0.7712
17031221400,"Logan Square, Chicago, IL",0.7711
17031812500,"Oak Park, IL",0.771
17031720200,"Beverly, Chicago, IL",0.7708
17031200200,"Belmont Gardens, Chicago, IL",0.7702
17031243300,"West Town, Chicago, IL",0.7702
17031815000,"Berwyn, IL",0.7702
17031240900,"West Town, Chicago, IL",0.77
17031222800,"Logan Square, Chicago, IL",0.77
17031252102,"Austin, Chicago, IL",0.7698
17031040201,"Lincoln Square, Chicago, IL",0.7697
17031071800,"Lincoln Park, Chicago, IL",0.7695
17031834500,"South Side, Chicago, IL",0.7693
17031010100,"Rogers Park, Chicago, IL",0.7693
17031251300,"South Austin, Chicago, IL",0.7692
17031400800,"South Side, Chicago, IL",0.7688
17031190701,"Belmont Cragin, Chicago, IL",0.7685
17031811701,"Melrose Park, IL",0.7683
18089031000,"East Chicago, IN",0.7682
17031821402,"Calumet Park, IL",0.7681
17031271400,"East Garfield Park, Chicago, IL",0.7679
17031620200,"South Side, Chicago, IL",0.7679
17031827000,"Harvey, IL",0.7678
17031814400,"Cicero, IL",0.7674
17031411200,"Hyde Park, Chicago, IL",0.7674
17031242500,"West Town, Chicago, IL",0.7673
17031070101,"Lincoln Park, Chicago, IL",0.7671
17031826402,"Dolton, IL",0.7668
17043844501,"Villa Park, IL",0.7668
17043846702,"Addison, IL",0.7664
17031640800,"South Side, Chicago, IL",0.7663
17031650500,"South Side, Chicago, IL",0.7663
17031600400,"Bridgeport, Chicago, IL",0.7663
17031560100,"South Side, Chicago, IL",0.766
18089020100,"Whiting, IN",0.7658
17031440700,"South Side, Chicago, IL",0.7656
17031807400,"Skokie, IL",0.7655
17043845807,"Downers Grove, IL",0.7653
18089030400,"East Chicago, IN",0.7651
17031390700,"East Hyde Park, Chicago, IL",0.7649
17031251500,"Austin, Chicago, IL",0.7647
17031240800,"West Town, Chicago, IL",0.7645
17031840300,"McKinley Park, Chicago, IL",0.7644
17031200300,"Hermosa, Chicago, IL",0.7643
17031810900,"Elmwood Park, IL",0.7639
17031750200,"South Side, Chicago, IL",0.7638
17031230900,"Humboldt Park, Chicago, IL",0.7635
17031670300,"Englewood, Chicago, IL",0.7633
17031711300,"Auburn Gresham, Chicago, IL",0.7633
17031820605,"Hickory Hills, IL",0.7632
17031480400,"Calumet Heights, Chicago, IL",0.7632
17043845510,"Westmont, IL",0.7631
17031242700,"Humboldt Park, Chicago, IL",0.7631
17031490400,"Roseland, Chicago, IL",0.763
17031060900,"Lake View East, Chicago, IL",0.7628
17031700402,"Ashburn, Chicago, IL",0.7626
17031817900,"Broadview, IL",0.7626
17031110200,"Gladstone Park, Chicago, IL",0.7625
17031230400,"Humboldt Park, Chicago, IL",0.7623
17031818000,"Broadview, IL",0.7623
17043845509,"Westmont, IL",0.7622
17031080400,"Old Town, Chicago, IL",0.762
17031822500,"Oak Lawn, IL",0.7619
17043843301,"Lombard, IL",0.7619
17031816100,"Forest Park, IL",0.7618
17031520300,"East Side, Chicago, IL",0.7617
17031818500,"Westchester, IL",0.7617
17031720600,"South Side, Chicago, IL",0.7612
17031814800,"Berwyn, IL",0.7611
17031030500,"Magnolia Glen, Chicago, IL",0.761
17031150502,"Portage Park, Chicago, IL",0.761
17031230200,"Humboldt Park, Chicago, IL",0.7609
17031832000,"Lake View, Chicago, IL",0.7607
17031250800,"Austin, Chicago, IL",0.7605
17031822701,"Oak Lawn, IL",0.7603
17031842400,"South Side, Chicago, IL",0.7603
17031823302,"Chicago, IL",0.7602
17031806502,"Des Plaines, IL",0.7602
17031520200,"East Side, Chicago, IL",0.76
17031700501,"South Side, Chicago, IL",0.7599
17031561000,"South Side, Chicago, IL",0.7594
17031818300,"Hillside, IL",0.7591
17031430101,"South Shore, Chicago, IL",0.7587
17031811401,"Franklin Park, IL",0.7586
17031230100,"Humboldt Park, Chicago, IL",0.7584
17031821200,"Blue Island, IL",0.7582
17031843200,"Heart of Chicago, Chicago, IL",0.7582
17031230700,"Humboldt Park, Chicago, IL",0.7582
17043840705,"Elmhurst, IL",0.758
17031826500,"Chicago, IL",0.758
17031351500,"Bronzeville, Chicago, IL",0.758
17031230300,"Humboldt Park, Chicago, IL",0.7579
17031822000,"Hometown, IL",0.7579
17043845502,"Willowbrook, IL",0.7577
17031711400,"South Side, Chicago, IL",0.7575
17031805111,"Des Plaines, IL",0.757
17031221000,"Logan Square, Chicago, IL",0.757
17031600700,"Bridgeport, Chicago, IL",0.7568
17031200402,"Hermosa, Chicago, IL",0.7567
17031221200,"Logan Square, Chicago, IL",0.7565
17031241300,"West Town, Chicago, IL",0.7564
17031600900,"South Side, Chicago, IL",0.7561
17031140800,"Albany Park, Chicago, IL",0.756
17031825802,"Calumet City, IL",0.7558
17031170600,"Dunning, Chicago, IL",0.7557
17031310700,"Lower West Side, Chicago, IL",0.7557
18089020300,"Hammond, IN",0.7556
17031071300,"Lincoln Park, Chicago, IL",0.7556
17031824701,"Midlothian, IL",0.7554
17031210900,"Avondale, Chicago, IL",0.7553
17031040402,"Lincoln Square, Chicago, IL",0.7551
18089020400,"Hammond, IN",0.755
17031817000,"Bellwood, IL",0.7549
17031711000,"Auburn Gresham, Chicago, IL",0.7548
17031440201,"South Side, Chicago, IL",0.7547
17031381200,"Bronzeville, Chicago, IL",0.7546
17031500100,"Cottage Grove Heights, Chicago, IL",0.7546
17031062000,"Boystown, Chicago, IL",0.7545
17031814500,"Cicero, IL",0.7545
17031410800,"Hyde Park, Chicago, IL",0.7542
17031711500,"Auburn Gresham, Chicago, IL",0.7541
17031750400,"Kennedy Park, Chicago, IL",0.7541
17031808002,"Lincolnwood, IL",0.754
17031841500,"Lawndale, Chicago, IL",0.7539
17031490600,"Longwood Manor, Chicago, IL",0.7538
17031842500,"Greater Grand Crossing, Chicago, IL",0.7537
17031381800,"South Side, Chicago, IL",0.7531
17031816500,"Stone Park, IL",0.7531
17031020902,"West Ridge, Chicago, IL",0.7531
17031750600,"South Side, Chicago, IL",0.753
17043844201,"Lombard, IL",0.7529
17031815800,"Hollywood, Brookfield, IL",0.7529
17031191000,"Belmont Cragin, Chicago, IL",0.7529
17043845701,"Downers Grove, IL",0.7528
17031030104,"Edgewater, Chicago, IL",0.7527
17031241000,"Humboldt Park, Chicago, IL",0.7526
17031160400,"Irving Park, Chicago, IL",0.7523
17031770500,"Des Plaines, IL",0.7523
17043840703,"Bensenville, IL",0.7522
17031440800,"South Side, Chicago, IL",0.752
17031821002,"Burbank, IL",0.752
17031491300,"Roseland, Chicago, IL",0.7519
17031815200,"Berwyn, IL",0.7516
17031251700,"Austin, Chicago, IL",0.7514
17031190602,"Belmont Central, Chicago, IL",0.7513
17031251400,"Austin, Chicago, IL",0.7511
17031838200,"Illinois Medical District, Chicago, IL",0.7511
17031806600,"Des Plaines, IL",0.751
17031824400,"Crestwood, IL",0.7508
17031070700,"Lincoln Park, Chicago, IL",0.7507
17031820700,"Berwyn, IL",0.7506
17031831300,"West Humboldt Park, Chicago, IL",0.7506
17031100300,"Norwood Park, Chicago, IL",0.7505
17031730700,"South Side, Chicago, IL",0.7504
17031480500,"South Side, Chicago, IL",0.7504
17031823500,"Blue Island, IL",0.7502
17031770300,"Elk Grove Village, IL",0.7502
17031292200,"Lawndale, Chicago, IL",0.7502
17031650400,"South Side, Chicago, IL",0.7501
17031822200,"Oak Lawn, IL",0.75
17031030900,"Edgewater, Chicago, IL",0.75
17031823604,"Palos Heights, IL",0.75
17031840000,"Bridgeport, Chicago, IL",0.75
17031700302,"Ashburn, Chicago, IL",0.7499
17031570200,"Archer Heights, Chicago, IL",0.7498
17031222700,"Logan Square, Chicago, IL",0.7494
17031825801,"Calumet City, IL",0.7494
17031430500,"South Side, Chicago, IL",0.7494
17031813500,"Cicero, IL",0.7492
17031430700,"South Side, Chicago, IL",0.7491
17031805501,"Park Ridge, IL",0.749
17043845802,"Darien, IL",0.7489
17031210700,"Avondale, Chicago, IL",0.7489
18089010304,"Gary, IN",0.7488
18089030800,"East Chicago, IN",0.7487
17031251900,"Austin, Chicago, IL",0.7486
17031820201,"Burr Ridge, IL",0.7483
17031832200,"Bucktown, Chicago, IL",0.7483
17031817102,"Bellwood, IL",0.7483
17031831400,"Austin, Chicago, IL",0.7482
17031630500,"Gage Park, Chicago, IL",0.7481
17031812100,"Oak Park, IL",0.7481
17031040300,"Budlong Woods, Chicago, IL",0.748
17031610300,"Back of the Yards, Chicago, IL",0.7479
17031250700,"Austin, Chicago, IL",0.7477
17043840706,"Elmhurst, IL",0.7477
17031813100,"Oak Park, IL",0.7476
17031824113,"Orland Park, IL",0.7476
17031051100,"Roscoe Village, Chicago, IL",0.7476
17031010201,"Rogers Park, Chicago, IL",0.7475
17031580200,"Brighton Park, Chicago, IL",0.7475
17031807600,"Skokie, IL",0.7475
17031837800,"Near West Side, Chicago, IL",0.7474
17031842600,"South Side, Chicago, IL",0.7474
17031831200,"Hermosa, Chicago, IL",0.7471
17031260400,"Garfield Park, Chicago, IL",0.7471
17031820103,"La Grange, IL",0.747
17031440600,"South Side, Chicago, IL",0.747
17031261000,"Garfield Park, Chicago, IL",0.7468
17031301801,"Little Village, Chicago, IL",0.7467
17031251600,"Austin, Chicago, IL",0.7467
17031711100,"South Side, Chicago, IL",0.7467
17043843100,"Villa Park, IL",0.7466
17031670400,"Englewood, Chicago, IL",0.7466
17031100500,"Norwood Park, Chicago, IL",0.7466
17031822601,"Oak Lawn, IL",0.7464
17031520400,"South Side, Chicago, IL",0.7464
17031590500,"South Side, Chicago, IL",0.7462
17031817500,"Maywood, IL",0.7459
17031711200,"Auburn Gresham, Chicago, IL",0.7458
17031824503,"Midlothian, IL",0.7458
17031821500,"Riverdale, IL",0.7457
17031020400,"West Ridge, Chicago, IL",0.7457
17031831900,"Lake View, Chicago, IL",0.7457
17031031400,"Uptown, Chicago, IL",0.7456
17031836600,"Humboldt Park, Chicago, IL",0.7455
17031490300,"South Side, Chicago, IL",0.7454
17031835100,"Gage Park, Chicago, IL",0.7453
17043840801,"Bensenville, IL",0.7453
17031811800,"Northlake, IL",0.7452
17031430102,"South Shore, Chicago, IL",0.7452
17031030300,"Edgewater, Chicago, IL",0.7451
17031839700,"Bridgeport, Chicago, IL",0.7451
17031252202,"Austin, Chicago, IL",0.7447
17031390400,"Kenwood, Chicago, IL",0.7446
17031661100,"South Side, Chicago, IL",0.7445
17031770700,"Rosemont, IL",0.7444
17043843000,"Elmhurst, IL",0.7443
17031710600,"South Side, Chicago, IL",0.7443
17031700401,"South Side, Chicago, IL",0.7442
17031161200,"Kilbourn Park, Chicago, IL",0.7441
17031814900,"Berwyn, IL",0.7441
17031250300,"Austin, Chicago, IL",0.7441
17031817400,"Maywood, IL",0.7439
17031071400,"Lincoln Park, Chicago, IL",0.7436
17031030101,"Edgewater, Chicago, IL",0.7436
17031460100,"South Chicago, Chicago, IL",0.7436
17031813802,"Cicero, IL",0.7433
17031816200,"Melrose Park, IL",0.7433
17031815600,"North Riverside, IL",0.7429
17031271200,"East Garfield Park, Chicago, IL",0.7429
17031842100,"Humboldt Park, Chicago, IL",0.7429
17031671600,"Englewood, Chicago, IL",0.7428
17031841300,"Heart of Chicago, Chicago, IL",0.7427
17031221100,"Logan Square, Chicago, IL",0.7426
17031440300,"South Side, Chicago, IL",0.7425
17031160700,"Irving Park East, Chicago, IL",0.7422
17031040202,"Budlong Woods, Chicago, IL",0.7422
17031520100,"East Side, Chicago, IL",0.7421
17031500200,"South Side, Chicago, IL",0.7421
17031681100,"Englewood, Chicago, IL",0.742
17031640600,"South Side, Chicago, IL",0.742
17031842000,"Bronzeville, Chicago, IL",0.7416
17031830600,"Rogers Park, Chicago, IL",0.7415
17031210400,"Avondale, Chicago, IL",0.7414
17031817200,"Maywood, IL",0.7412
17031251100,"Austin, Chicago, IL",0.7411
17031815300,"Chicago, IL",0.7411
17031420600,"South Side, Chicago, IL",0.741
17031010701,"Rogers Park, Chicago, IL",0.7408
17031460700,"South Chicago, Chicago, IL",0.7407
17031815100,"Berwyn, IL",0.7407
17031824702,"Midlothian, IL",0.7407
17031810200,"Evanston, IL",0.7406
17031681300,"Englewood, Chicago, IL",0.7405
17031420300,"South Side, Chicago, IL",0.7405
17043845809,"Downers Grove, IL",0.7404
17031824005,"Lemont, IL",0.7403
17031830700,"Uptown, Chicago, IL",0.7403
17031100600,"Norwood Park, Chicago, IL",0.7402
17031063301,"Lake View East, Chicago, IL",0.7402
17031710900,"Auburn Gresham, Chicago, IL",0.7401
17031240200,"West Town, Chicago, IL",0.74
17031381400,"South Side, Chicago, IL",0.7396
17031530503,"South Side, Chicago, IL",0.7396
17031140500,"Albany Park, Chicago, IL",0.7396
17031030400,"Edgewater, Chicago, IL",0.7393
17043840303,"Addison, IL",0.7392
17031490902,"South Side, Chicago, IL",0.7392
17031611200,"Back of the Yards, Chicago, IL",0.739
17031292500,"Lawndale, Chicago, IL",0.739
17031730201,"South Side, Chicago, IL",0.7389
17031031000,"Uptown, Chicago, IL",0.7389
17031842800,"Brighton Park, Chicago, IL",0.7388
17031580400,"Brighton Park, Chicago, IL",0.7387
17031242000,"Noble Square, Chicago, IL",0.7387
17031730600,"South Side, Chicago, IL",0.7387
17031832300,"Bucktown, Chicago, IL",0.7384
17031310300,"Lower West Side, Chicago, IL",0.7383
17031817101,"Bellwood, IL",0.7381
17031813000,"Oak Park, IL",0.738
17031240600,"West Town, Chicago, IL",0.738
17031836900,"East Garfield Park, Chicago, IL",0.7376
17031720700,"Beverly, Chicago, IL",0.7375
17031191301,"Belmont Cragin, Chicago, IL",0.7372
17031220902,"Logan Square, Chicago, IL",0.7371
17031230600,"Humboldt Park, Chicago, IL",0.7369
17031821300,"Blue Island, IL",0.7368
17031221300,"Logan Square, Chicago, IL",0.7366
17031430600,"South Shore, Chicago, IL",0.7365
17031510200,"South Side, Chicago, IL",0.7365
17031460302,"South Chicago, Chicago, IL",0.7364
17031839600,"Bronzeville, Chicago, IL",0.7364
17031461000,"South Chicago, Chicago, IL",0.736
17031838100,"Near West Side, Chicago, IL",0.736
17031420100,"South Side, Chicago, IL",0.7357
17031691500,"Grand Crossing, Chicago, IL",0.7357
17031816000,"Forest Park, IL",0.7356
17031640100,"South Side, Chicago, IL",0.7355
17031010400,"Rogers Park, Chicago, IL",0.7354
17043845811,"Willowbrook, IL",0.7353
17031460301,"South Side, Chicago, IL",0.7352
17031420500,"South Side, Chicago, IL",0.7352
17031818700,"Brookfield, IL",0.7351
17031410200,"Hyde Park, Chicago, IL",0.735
17031020301,"West Ridge, Chicago, IL",0.7349
17031811702,"Melrose Park, IL",0.7349
17031420400,"South Side, Chicago, IL",0.7348
17031805802,"Park Ridge, IL",0.7348
17031291600,"Douglas Park, Chicago, IL",0.7347
17031242200,"West Town, Chicago, IL",0.7345
18089030300,"East Chicago, IN",0.7343
17031231200,"Humboldt Park, Chicago, IL",0.7341
17031820400,"Summit, IL",0.734
17031271800,"East Garfield Park, Chicago, IL",0.734
17043845803,"Lemont, IL",0.7339
17031830800,"Lincoln Square, Chicago, IL",0.7339
17031630900,"Gage Park, Chicago, IL",0.7338
17031820901,"Burbank, IL",0.7337
17031710500,"Auburn Gresham, Chicago, IL",0.7337
17031750500,"Morgan Park, Chicago, IL",0.7336
17031819200,"Lyons, IL",0.7336
17031020100,"West Ridge, Chicago, IL",0.7336
17031825900,"Calumet City, IL",0.7335
17031310800,"Heart of Chicago, Chicago, IL",0.7335
17031210602,"Avondale, Chicago, IL",0.7335
17031050200,"North Center, Chicago, IL",0.7334
17031530400,"South Side, Chicago, IL",0.7334
17031807900,"Lincolnwood, IL",0.7334
17031260900,"Garfield Park, Chicago, IL",0.7332
17031843000,"Lawndale, Chicago, IL",0.7331
17031836000,"Bronzeville, Chicago, IL",0.733
17031191100,"Belmont Cragin, Chicago, IL",0.733
17031818800,"Brookfield, IL",0.7329
17031720500,"South Side, Chicago, IL",0.7329
17031030701,"Edgewater, Chicago, IL",0.7327
17031814300,"Cicero, IL",0.7326
17031231100,"Humboldt Park, Chicago, IL",0.7326
17031140302,"Albany Park, Chicago, IL",0.7326
17031242400,"Ukrainian Village, Chicago, IL",0.7325
17031700100,"Ashburn, Chicago, IL",0.7323
17031817600,"Maywood, IL",0.7323
17031020901,"West Ridge, Chicago, IL",0.7322
17031811302,"Franklin Park, IL",0.7322
17031040900,"Lincoln Square, Chicago, IL",0.7321
17031811600,"Schiller Park, IL",0.732
17031480300,"South Side, Chicago, IL",0.7319
17043840802,"Bensenville, IL",0.7316
17031815702,"Riverside, IL",0.7316
17031840700,"Little Village, Chicago, IL",0.7315
17031815500,"Berwyn, IL",0.7314
17031510300,"Jeffrey Manor, Chicago, IL",0.7313
17031620300,"South Side, Chicago, IL",0.7312
17031160800,"Irving Park, Chicago, IL",0.731
17031814600,"Berwyn, IL",0.7309
17031811301,"Melrose Park, IL",0.7308
17031770400,"Elk Grove Village, IL",0.7308
17031841900,"University Village / Little Italy, Chicago, IL",0.7305
17031440102,"East Chatham, Chicago, IL",0.7305
17031808200,"Niles, IL",0.7305
17031040700,"Lincoln Square, Chicago, IL",0.7305
17031440101,"East Chatham, Chicago, IL",0.7305
17031251200,"Austin, Chicago, IL",0.7304
17031836700,"East Garfield Park, Chicago, IL",0.7303
17031220300,"Logan Square, Chicago, IL",0.7303
17031282700,"Lawndale, Chicago, IL",0.7303
17031150600,"Portage Park, Chicago, IL",0.7302
17031826700,"Riverdale, IL",0.7301
17031160200,"Old Irving Park, Chicago, IL",0.7301
17031814100,"Cicero, IL",0.7301
17031839900,"Bridgeport, Chicago, IL",0.73
17031811500,"Franklin Park, IL",0.7298
17031151001,"Cragin, Chicago, IL",0.7297
17031681400,"Englewood, Chicago, IL",0.7296
17031814700,"Berwyn, IL",0.7294
17031691400,"South Side, Chicago, IL",0.7293
17031730500,"South Side, Chicago, IL",0.7293
17043843900,"Elmhurst, IL",0.7292
17031730300,"Brainerd, Chicago, IL",0.7291
17031838700,"Lawndale, Chicago, IL",0.729
17031730400,"South Side, Chicago, IL",0.7289
17031835000,"Chicago Lawn, Chicago, IL",0.7289
17031320600,"South Loop, Chicago, IL",0.7289
17031220602,"Logan Square, Chicago, IL",0.7287
17031431400,"South Shore, Chicago, IL",0.7286
17043843700,"Villa Park, IL",0.7284
17031040401,"Lincoln Square, Chicago, IL",0.7283
17031832500,"Lincoln Park, Chicago, IL",0.7281
17031837300,"East Garfield Park, Chicago, IL",0.7279
17031491100,"South Side, Chicago, IL",0.7279
17031834200,"South Shore, Chicago, IL",0.7277
17031832100,"Lake View, Chicago, IL",0.7276
17031660800,"South Side, Chicago, IL",0.7276
18089020200,"Whiting, IN",0.7275
17031835900,"Bronzeville, Chicago, IL",0.7274
17031825700,"Chicago, IL",0.7273
17031843300,"Douglas Park, Chicago, IL",0.7273
17031530100,"South Side, Chicago, IL",0.7273
17031823001,"Chicago Ridge, IL",0.7273
17031491200,"South Side, Chicago, IL",0.727
17031834300,"Avalon Park, Chicago, IL",0.7268
17031010702,"Rogers Park, Chicago, IL",0.7267
17031063302,"Lake View East, Chicago, IL",0.7267
17031040600,"Lincoln Square, Chicago, IL",0.7267
17031540101,"South Side, Chicago, IL",0.7259
17031611100,"Back of the Yards, Chicago, IL",0.7258
17031750100,"Morgan Park, Chicago, IL",0.7256
17031020801,"West Ridge, Chicago, IL",0.7254
17031260600,"Garfield Park, Chicago, IL",0.7254
17031080201,"Near North Side, Chicago, IL",0.7253
17031681000,"Englewood, Chicago, IL",0.7253
17031710400,"South Side, Chicago, IL",0.7251
17031240700,"West Town, Chicago, IL",0.7248
17031813400,"Cicero, IL",0.7248
17031820501,"Bridgeview, IL",0.7246
17031836100,"South Side, Chicago, IL",0.7243
17031843800,"South Side, Chicago, IL",0.7241
17031690500,"Greater Grand Crossing, Chicago, IL",0.724
17031821600,"Evergreen Park, IL",0.724
17031410100,"South Side, Chicago, IL",0.7238
17031807800,"Skokie, IL",0.7236
17031220901,"Logan Square, Chicago, IL",0.7236
17031560200,"South Side, Chicago, IL",0.7236
17031242600,"Humboldt Park, Chicago, IL",0.7235
17031440900,"South Side, Chicago, IL",0.7234
17031460400,"South Chicago, Chicago, IL",0.7233
17031817700,"Maywood, IL",0.7231
17031710200,"Auburn Gresham, Chicago, IL",0.7231
17031252000,"Austin, Chicago, IL",0.7231
17031200100,"Belmont Gardens, Chicago, IL",0.7229
17031819100,"Lyons, IL",0.7228
17031838800,"South Deering, Chicago, IL",0.7226
17031190900,"Belmont Cragin, Chicago, IL",0.7223
17031823603,"Robbins, IL",0.7222
17031140701,"Albany Park, Chicago, IL",0.7222
17031251000,"Austin, Chicago, IL",0.722
17031310200,"East Pilsen, Chicago, IL",0.722
