"tract","Name","Employment_Rate_rP_gP_pall"
24005403401,"Pikesville, MD",0.8205
24025303206,"Bel Air, MD",0.82
24005490100,"Towson, MD",0.8198
24005403701,"Owings Mills, MD",0.8197
24005401503,"Catonsville, MD",0.8196
24005400702,"Baltimore, MD",0.8196
24025303606,"Bel Air, MD",0.8196
24027606601,"Oakland Mills, Columbia, MD",0.8195
24033800403,"Bowie, MD",0.8193
24005490603,"Baltimore, MD",0.8192
24003751700,"Crownsville, MD",0.8191
24003731310,"Green Haven, Pasadena, MD",0.8187
24005491701,"Parkville, MD",0.8186
24033800408,"Glenn Dale, MD",0.8186
24005408601,"Lutherville-Timonium, MD",0.8185
24033805801,"Adelphi, MD",0.8185
24033806712,"Greenbelt, MD",0.8183
24005408505,"Lutherville-Timonium, MD",0.8182
24033800206,"Laurel, MD",0.8179
24027605502,"Harper's Choice, Columbia, MD",0.8178
24005411202,"Glen Arm, MD",0.8176
24005491300,"Baltimore, MD",0.8175
24027602302,"Columbia, MD",0.8173
24033806400,"University Park, MD",0.8171
24027605601,"Hickory Ridge, Columbia, MD",0.8171
24005410200,"Phoenix, MD",0.8169
24025303603,"Bel Air, MD",0.8168
24031701506,"Silver Spring, MD",0.8168
24025303201,"Forest Hill, MD",0.8163
24025303400,"Fallston, MD",0.8159
24027606603,"Oakland Mills, Columbia, MD",0.8158
24013505101,"Sykesville, MD",0.8157
24027606704,"Owen Brown, Columbia, MD",0.8154
24005492600,"Parkville, MD",0.8153
24025303801,"Bel Air, MD",0.8151
24003731202,"Pasadena, MD",0.8145
24033800504,"Bowie, MD",0.8144
24005400900,"Catonsville, MD",0.8142
24013505205,"Eldersburg, MD",0.8139
24025303803,"Bel Air, MD",0.8133
24027606706,"Kendall Ridge, Columbia, MD",0.8132
24025301401,"Harford County, MD",0.813
24033800409,"Bowie, MD",0.8129
24005401000,"Catonsville, MD",0.8128
24003730502,"South Gate, Glen Burnie, MD",0.8128
24005404404,"Reisterstown, MD",0.8128
24003730604,"Severna Park, MD",0.8128
24027605103,"Highland, MD",0.8122
24005400800,"Catonsville, MD",0.8122
24003731201,"Severna Park, MD",0.8121
24033800410,"Bowie, MD",0.8119
24005491900,"Parkville, MD",0.8118
24031701420,"Silver Spring, MD",0.8117
24027604002,"Glenwood, MD",0.8116
24035810800,"Stevensville, MD",0.8115
24005404501,"Reisterstown, MD",0.8114
24031701316,"Sandy Spring, Ashton-Sandy Spring, MD",0.8108
24025301704,"Belcamp, MD",0.8108
24027603003,"West Friendship, MD",0.8099
24027601103,"West Elkridge, Elkridge, MD",0.8098
24510271300,"Roland Park, Baltimore, MD",0.8098
24005404101,"Owings Mills, MD",0.8092
24035810901,"Stevensville, MD",0.8088
24027606901,"Savage, Jessup, MD",0.8088
24033806800,"Berwyn Heights, MD",0.8085
24031702102,"Woodmoor, Silver Spring, MD",0.8085
24003731303,"Pasadena, MD",0.8081
24005411306,"Nottingham, MD",0.8078
24003740603,"Fort Meade, MD",0.807
24003730506,"South Gate, Glen Burnie, MD",0.8069
24003702206,"Crofton, MD",0.8067
24025301202,"Bel Air, MD",0.8066
24003740305,"Odenton, MD",0.8065
24005440500,"Nottingham, MD",0.8065
24027601108,"Ellicott City, MD",0.8065
24033800208,"Laurel, MD",0.8063
24005410100,"Phoenix, MD",0.8058
24033807404,"Beltsville, MD",0.8058
24510270703,"North Harford Road, Baltimore, MD",0.8057
24510270200,"Lauraville, Baltimore, MD",0.8057
24005404502,"Reisterstown, MD",0.8056
24005408100,"Sparks Glencoe, MD",0.8054
24027601105,"Ellicott City, MD",0.8054
24005490601,"Baltimore, MD",0.8045
24005411404,"Parkville, MD",0.8045
24033800513,"Bowie, MD",0.8045
24013508102,"Hampstead, MD",0.8042
24003740602,"Fort Meade, MD",0.8041
24003706500,"Annapolis, MD",0.804
24025302801,"Aberdeen, MD",0.8039
24003750801,"Glen Burnie, MD",0.8039
24033800210,"Laurel, MD",0.8038
24013504201,"Finksburg, MD",0.8037
24033800212,"Laurel, MD",0.8037
24013514100,"Eldersburg, MD",0.8036
24005404800,"Reisterstown, MD",0.8035
24005490200,"Lutherville-Timonium, MD",0.8034
24033800105,"Laurel, MD",0.8034
24013509001,"Westminster, MD",0.8034
24005451701,"Middle River, MD",0.8031
24005451200,"Middle River, MD",0.8029
24029950400,"Chestertown, MD",0.8028
24013507602,"Westminster, MD",0.8025
24003706402,"Annapolis, MD",0.8024
24031701505,"Silver Spring, MD",0.8023
24003702300,"Davidsonville, MD",0.8022
24033800211,"Laurel, MD",0.8021
24005452100,"Sparrows Point, MD",0.8016
24031701410,"Burtonsville, MD",0.8016
24027602100,"Ellicott City, MD",0.8015
24003750804,"Glen Burnie, MD",0.8014
24005403100,"Gwynn Oak, Pikesville, MD",0.8013
24005401506,"Windsor Mill, Baltimore, MD",0.801
24005405000,"Upperco, MD",0.801
24033800514,"Bowie, MD",0.8009
24003702402,"Annapolis, MD",0.8009
24033807409,"Beltsville, MD",0.8009
24013507601,"Westminster, MD",0.8007
24005490800,"Towson, MD",0.8002
24510270502,"North Harford Road, Baltimore, MD",0.8001
24033805802,"Hyattsville, MD",0.8
24025302200,"Aberdeen, MD",0.8
24027604001,"Woodbine, MD",0.7999
24003751400,"Severn, MD",0.7996
24005402403,"Gwynn Oak, Baltimore, MD",0.7992
24027602201,"Ellicott City, MD",0.7992
24005403601,"Baltimore, MD",0.7992
24033807408,"Beltsville, MD",0.799
24033800103,"Laurel, MD",0.7988
24027606606,"Long Reach, Columbia, MD",0.7985
24033800106,"Laurel, MD",0.7983
24005491500,"Parkville, MD",0.7982
24013507801,"Westminster, MD",0.7981
24003751600,"Annapolis, MD",0.7981
24027606906,"Laurel, MD",0.7977
24031701414,"Silver Spring, MD",0.7972
24005491600,"Parkville, MD",0.7972
24005440300,"Nottingham, MD",0.797
24005404403,"Reisterstown, MD",0.797
24003702208,"Crofton, MD",0.7968
24005451600,"Middle River, MD",0.7967
24005411407,"Parkville, MD",0.7965
24005451000,"Essex, MD",0.7965
24003740601,"Fort Meade, MD",0.7964
24005408200,"Cockeysville, MD",0.7964
24005440100,"Baltimore, MD",0.796
24003731104,"Arnold, MD",0.796
24003740500,"Laurel, MD",0.7953
24005451803,"Middle River, MD",0.7952
24005402603,"Randallstown, MD",0.7951
24005492402,"Owings Mills, MD",0.7951
24005411408,"Nottingham, MD",0.7948
24003731105,"Arnold, MD",0.7947
24031702900,"Silver Spring, MD",0.7944
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.7943
24005407001,"Parkton, MD",0.7942
24025303700,"Bel Air, MD",0.7942
24003730603,"Millersville, MD",0.7933
24003730902,"Annapolis, MD",0.7933
24033806710,"Greenbelt, MD",0.7928
24027601201,"Elkridge, MD",0.7927
24033806713,"Greenbelt, MD",0.7926
24005452400,"Dundalk, MD",0.7925
24025303101,"Bel Air, MD",0.7925
24005403602,"Baltimore, MD",0.7924
11001001702,"Northwest Washington, Washington, DC",0.7923
24003730800,"Arnold, MD",0.7923
24031701703,"Takoma Park, MD",0.7918
24013507702,"Westminster, MD",0.7918
24005408503,"Cockeysville, MD",0.7915
24033800203,"Laurel, MD",0.7915
24005451900,"Edgemere, MD",0.7912
24510270802,"Ramblewood, Baltimore, MD",0.7912
24027606905,"Savage, Savage, MD",0.791
24013514201,"Sykesville, MD",0.7909
24031703210,"Silver Spring, MD",0.7908
24005492102,"Parkville, MD",0.7905
24031701800,"Takoma Park, MD",0.7903
24005403300,"Lochearn, Pikesville, MD",0.7901
24005403801,"Baltimore County, MD",0.79
24033807405,"Beltsville, MD",0.7897
24003702701,"Annapolis, MD",0.7895
24033803605,"New Carrollton, MD",0.7894
24005402506,"Randallstown, MD",0.7893
24005401504,"Catonsville, MD",0.7892
24003740201,"South Gate, Glen Burnie, MD",0.7892
24027602600,"Ellicott City, MD",0.7891
24005408507,"Cockeysville, MD",0.789
24510270903,"Hillen, Baltimore, MD",0.7888
24027605402,"Columbia, MD",0.7888
24510280401,"Baltimore, MD",0.7888
24003702204,"Crofton, MD",0.7887
24033807301,"College Park, MD",0.7886
24025303205,"Forest Hill, MD",0.7884
24005440400,"Baltimore, MD",0.7883
24005408302,"Lutherville-Timonium, MD",0.788
24005491401,"Parkville, MD",0.7878
24025306500,"Aberdeen Proving Ground, MD",0.7877
24005408304,"Cockeysville, MD",0.7876
24003702702,"Annapolis, MD",0.7873
24005411410,"Parkville, MD",0.7873
24510270302,"Waltherson, Baltimore, MD",0.787
24027601104,"Ellicott City, MD",0.7869
24031702101,"Montgomery Knolls, Silver Spring, MD",0.7867
24033805202,"Takoma Park, MD",0.7865
24510020300,"Fells Point, Baltimore, MD",0.7865
24003730700,"Severna Park, MD",0.7865
24033800213,"Laurel, MD",0.7865
24027606904,"Laurel, MD",0.7863
24005411302,"White Marsh, MD",0.7861
24005408800,"Lutherville-Timonium, MD",0.786
24005492002,"Parkville, MD",0.7859
24510010100,"Canton, Baltimore, MD",0.7858
24013507802,"Westminster, MD",0.7858
24003740303,"Severn, MD",0.7857
24025301602,"Edgewood, MD",0.7856
24003740701,"Odenton, MD",0.7855
24003702500,"Annapolis, MD",0.7853
24003731308,"Pasadena, MD",0.7853
24031701418,"Silver Spring, MD",0.7853
24025301601,"Edgewood, MD",0.7851
24005420200,"Dundalk, MD",0.7845
24031701602,"Silver Spring, MD",0.7844
24005403201,"Gwynn Oak, Lochearn, MD",0.7844
24005411102,"Kingsville, MD",0.7843
24005401101,"Woodlawn, MD",0.7843
24003740203,"Severn, MD",0.7842
24005490301,"Towson, MD",0.7841
24005440900,"Rosedale, MD",0.784
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",0.784
24031701423,"Silver Spring, MD",0.7838
24033805101,"Chillum, MD",0.7837
24005451802,"Middle River, MD",0.7834
24025301702,"Belcamp, MD",0.7834
24033807000,"College Park, MD",0.7831
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.783
24013505208,"Sykesville, MD",0.7827
24027601204,"Elkridge, MD",0.7827
24003740900,"Odenton, MD",0.7825
24005402304,"Gwynn Oak, Baltimore, MD",0.7824
24027602202,"Ellicott City, MD",0.782
24005402505,"Randallstown, MD",0.782
24025302802,"Aberdeen, MD",0.782
24005451702,"Middle River, MD",0.7819
24035810600,"Queenstown, MD",0.7815
24005492401,"Owings Mills, MD",0.7815
24510270801,"Idlewood, Baltimore, MD",0.7814
24003731309,"Riviera Beach, MD",0.7812
24005402306,"Windsor Mill, Baltimore, MD",0.7812
24510271400,"Evergreen, Baltimore, MD",0.781
24510250101,"Beechfield, Baltimore, MD",0.7804
24005403402,"Pikesville, MD",0.7804
24025303605,"Bel Air, MD",0.7803
24005403500,"Pikesville, MD",0.7802
24510270101,"Arcadia, Baltimore, MD",0.7802
24510270301,"Lauraville, Baltimore, MD",0.7802
24005404600,"Reisterstown, MD",0.78
24510240200,"Riverside, Baltimore, MD",0.78
24033806711,"Greenbelt, MD",0.7798
24005441102,"Rosedale, MD",0.7798
24005420302,"Dundalk, MD",0.7797
24003740105,"Severn, MD",0.7797
24510280200,"Gwynn Oak, Baltimore, MD",0.7796
24027605503,"Harper's Choice, Columbia, MD",0.7794
24033807304,"Adelphi, MD",0.7793
24027602800,"Ellicott City, MD",0.7789
24510270402,"Glenham-Belford, Baltimore, MD",0.7788
24510170100,"Downtown, Baltimore, MD",0.7788
24025303900,"Bel Air, MD",0.7787
24033800102,"Laurel, MD",0.7785
24510120202,"Baltimore, MD",0.7784
24510270902,"Perring Loch, Baltimore, MD",0.7779
24005402509,"Owings Mills, MD",0.7779
24005450900,"Essex, MD",0.7776
24033807305,"Adelphi, MD",0.7775
24005491202,"Towson, MD",0.7775
24003730901,"Annapolis, MD",0.7772
24003731307,"Pasadena, MD",0.7769
24027606907,"Laurel, MD",0.7765
24031702200,"Silver Spring, MD",0.7764
24510270102,"Waltherson, Baltimore, MD",0.7763
24031701508,"Silver Spring, MD",0.7762
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.7762
24025301201,"Harford County, MD",0.776
24005440800,"Rosedale, MD",0.7759
24033800411,"Glenn Dale, MD",0.7758
24003706401,"Annapolis, MD",0.7755
24003740304,"Odenton, MD",0.7754
24510220100,"Baltimore, MD",0.7748
24005420702,"Dundalk, MD",0.7748
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.7748
24025303802,"Bel Air, MD",0.7745
24005491201,"Towson, MD",0.7745
24005402504,"Randallstown, MD",0.7743
24027606707,"Columbia, MD",0.7743
24033803607,"Lanham, MD",0.7741
24005440600,"Rosedale, MD",0.7738
24003751103,"Glen Burnie, MD",0.7738
24033805907,"Hyattsville, MD",0.7737
24005402604,"Randallstown, MD",0.7734
24005408900,"Cockeysville, MD",0.7733
24025302400,"Aberdeen, MD",0.7732
24033800413,"Lanham, MD",0.7732
24033800108,"Laurel, MD",0.7731
24003750300,"Linthicum Heights, MD",0.7726
24005420900,"Dundalk, MD",0.7725
24005452000,"Sparrows Point, MD",0.7722
24027601107,"Waterloo, Elkridge, MD",0.7719
24005420100,"Dundalk, MD",0.7718
24033800412,"Lanham, MD",0.7718
24035811000,"Chester, MD",0.7707
24005451100,"Essex, MD",0.7706
24005408506,"Cockeysville, MD",0.7702
24005404102,"Owings Mills, MD",0.7701
24003706600,"Annapolis, MD",0.7701
24005490400,"Towson, MD",0.7701
24005401301,"Woodlawn, MD",0.7699
24005491100,"Baltimore, MD",0.7695
24003731306,"Pasadena, MD",0.7695
24033800109,"Laurel, MD",0.769
24003702100,"Crownsville, MD",0.7687
24005490500,"Towson, MD",0.7684
24003706101,"Annapolis, MD",0.7679
24005402307,"Pikesville, MD",0.7677
24005400100,"Catonsville, MD",0.7675
24510270901,"New Northwood, Baltimore, MD",0.7673
24005402407,"Windsor Mill, Milford Mill, MD",0.7672
24510271503,"Cross Keys, Baltimore, MD",0.767
24510280403,"Westgate, Baltimore, MD",0.7668
24027602900,"Normandy, Ellicott City, MD",0.7667
24033805500,"Hyattsville, MD",0.7666
24025301204,"Abingdon, MD",0.7664
24033806900,"Hollywood, College Park, MD",0.766
24005430400,"Halethorpe, MD",0.7658
24005401102,"Gwynn Oak, Woodlawn, MD",0.7655
24003751200,"Linthicum Heights, MD",0.7654
24005490900,"Towson, MD",0.7654
24005401507,"Windsor Mill, Baltimore, MD",0.7648
24005402404,"Gwynn Oak, Lochearn, MD",0.7647
24510280402,"Rognel Heights, Baltimore, MD",0.7644
24005402201,"Randallstown, MD",0.7642
24033807410,"Beltsville, MD",0.7641
24005401200,"Woodlawn, MD",0.7641
24035810700,"Grasonville, MD",0.7641
24025302902,"Aberdeen, MD",0.7636
24005420701,"Dundalk, MD",0.7634
24005451300,"Middle River, MD",0.7634
24027605504,"Clarksville, MD",0.7634
24005492200,"Parkville, MD",0.7633
24031701509,"Silver Spring, MD",0.7632
24005402302,"Windsor Mill, Milford Mill, MD",0.7631
24510130806,"Woodberry, Baltimore, MD",0.7629
24510151100,"East Arlington, Baltimore, MD",0.7628
24005491402,"Parkville, MD",0.7625
24031702000,"New Hampshire Estates, Silver Spring, MD",0.7624
24029950200,"Worton, MD",0.7621
24005430800,"Halethorpe, MD",0.7619
24005420500,"Baltimore, MD",0.7619
24005451801,"Middle River, MD",0.7617
24003731311,"Green Haven, Pasadena, MD",0.7617
24003730300,"Glen Burnie, MD",0.7609
24005450400,"Essex, MD",0.7608
24025301703,"Abingdon, MD",0.7606
24510260102,"Frankford, Baltimore, MD",0.7601
24005402405,"Gwynn Oak, Baltimore, MD",0.7598
24003751000,"Glen Burnie, MD",0.7594
24003750201,"Brooklyn, Baltimore, MD",0.7593
24025301205,"Abingdon, MD",0.7591
24003751500,"Laurel, MD",0.759
24013504100,"Finksburg, MD",0.7589
24033805700,"Hyattsville, MD",0.7586
24510010400,"Canton, Baltimore, MD",0.7585
24025301107,"Abingdon, MD",0.7579
24025301301,"Harford County, MD",0.7576
24003751102,"Glen Burnie, MD",0.7576
24003750803,"Glen Burnie, MD",0.7574
24005402305,"Lochearn, Pikesville, MD",0.7572
24005402406,"Windsor Mill, Milford Mill, MD",0.7571
24510080101,"Belair - Edison, Baltimore, MD",0.756
24005402602,"Randallstown, MD",0.7559
24005430700,"Halethorpe, MD",0.7558
24033803606,"Lanham, MD",0.7555
24005420401,"Dundalk, MD",0.7555
24510260302,"Belair - Edison, Baltimore, MD",0.7552
24031701704,"Takoma Park, MD",0.7549
24033805909,"Hyattsville, MD",0.7546
24005401302,"Gwynn Oak, Baltimore, MD",0.7546
24510270803,"Loch Raven, Baltimore, MD",0.7543
24003750900,"Glen Burnie, MD",0.7543
24005400600,"Catonsville, MD",0.754
24033806602,"Riverdale, East Riverdale, MD",0.7531
24005420600,"Baltimore, MD",0.753
24003730401,"Glen Burnie, MD",0.7527
24510040100,"Downtown, Baltimore, MD",0.7527
24005440702,"Rosedale, MD",0.7524
24033807102,"Riverdale, Riverdale Park, MD",0.7519
24005450300,"Essex, MD",0.7519
24003731204,"Pasadena, MD",0.7518
24005450100,"Rosedale, MD",0.751
24005420800,"Dundalk, MD",0.7507
24005402503,"Randallstown, MD",0.7506
24025301302,"Edgewood, MD",0.7501
24031702401,"Silver Spring, MD",0.7498
24005490703,"Towson, MD",0.7497
24033800214,"Laurel, MD",0.7494
24005450200,"Essex, MD",0.7486
24033805906,"Adelphi, MD",0.7485
24005420402,"Dundalk, MD",0.7484
24510151200,"Park Circle, Baltimore, MD",0.7483
24510260201,"Frankford, Baltimore, MD",0.748
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.7478
24005441000,"Baltimore, MD",0.7477
24031701417,"Silver Spring, MD",0.7477
24510150800,"Garwyn Oaks, Baltimore, MD",0.7471
24005402202,"Baltimore County, MD",0.747
24510260605,"Medford - Broening, Baltimore, MD",0.7468
24005492001,"Parkville, MD",0.7467
24510270401,"Glenham-Belford, Baltimore, MD",0.7466
24003750202,"Brooklyn Park, MD",0.7458
24031702301,"Silver Spring, MD",0.7458
24510271002,"Winston - Govans, Baltimore, MD",0.7457
24510200100,"Lexington, Baltimore, MD",0.7456
24003741000,"Severn, MD",0.7449
24005440701,"Rosedale, MD",0.7449
24005402303,"Windsor Mill, Baltimore, MD",0.7449
24510010500,"Upper Fells Point, Baltimore, MD",0.7445
24033805908,"Chillum, MD",0.7442
24013514202,"Eldersburg, MD",0.7441
24003730402,"Glen Burnie, MD",0.7441
24005420301,"Dundalk, MD",0.7439
24033806714,"Greenbelt, MD",0.7432
24510260402,"Frankford, Baltimore, MD",0.7431
24031701702,"Takoma Park, MD",0.7431
24510270501,"Woodring, Baltimore, MD",0.7431
24005400701,"Catonsville, MD",0.743
24003706302,"Annapolis, MD",0.7428
24510120201,"Baltimore, MD",0.7426
24510140100,"Bolton Hill, Baltimore, MD",0.7425
24033805602,"Hyattsville, MD",0.7424
24025301402,"Harford County, MD",0.7424
24510150900,"Windsor Hills, Baltimore, MD",0.7416
24510261100,"Canton, Baltimore, MD",0.7413
24003730203,"Glen Burnie, MD",0.7411
24510080302,"Berea, Baltimore, MD",0.7406
24003730505,"South Gate, Glen Burnie, MD",0.7402
24510200702,"Saint Joseph's, Baltimore, MD",0.7393
24005452500,"Dundalk, MD",0.7388
24005421000,"Dundalk, MD",0.7386
24003740102,"Hanover, MD",0.7379
24003706700,"Naval Academy, Annapolis, MD",0.7368
24510260203,"Frankford, Baltimore, MD",0.736
24510280302,"West Forest Park, Baltimore, MD",0.7358
24510270804,"Lake Walker, Baltimore, MD",0.7356
24510260900,"Baltimore, MD",0.7352
24029950500,"Rock Hall, MD",0.7342
24510260101,"Cedmont, Baltimore, MD",0.734
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.7333
24510200800,"Irvington, Baltimore, MD",0.7332
24510250102,"Yale Heights, Baltimore, MD",0.7331
24027601203,"Elkridge, MD",0.7318
24510020100,"Upper Fells Point, Baltimore, MD",0.7315
24033807200,"College Park, MD",0.7312
24510120500,"Greenmount West, Baltimore, MD",0.7311
24005450501,"Essex, MD",0.7309
24510150500,"Burleith-Leighton, Baltimore, MD",0.7308
24510130803,"Medfield, Baltimore, MD",0.7303
24033800209,"Laurel, MD",0.7298
24005451402,"Middle River, MD",0.7291
24510150701,"Hanlon Longwood, Baltimore, MD",0.729
24003750203,"Baltimore, MD",0.7283
24510280404,"Irvington, Baltimore, MD",0.7281
24510151000,"Dorchester, Baltimore, MD",0.7279
24510200701,"Allendale, Baltimore, MD",0.7279
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",0.7276
24005421300,"Dundalk, MD",0.7275
24005450503,"Essex, MD",0.7272
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.7267
24510010200,"Patterson Park, Baltimore, MD",0.7261
24510250203,"Cherry Hill, Baltimore, MD",0.7259
24005450504,"Essex, MD",0.7254
24005408400,"Cockeysville, MD",0.7254
24510150702,"Walbrook, Baltimore, MD",0.725
24510250103,"Violetville, Baltimore, MD",0.7241
24005404202,"Owings Mills, MD",0.7239
24510030200,"Little Italy, Baltimore, MD",0.7234
24510280500,"Pleasant View Gardens, Baltimore, MD",0.7227
24031701422,"Silver Spring, MD",0.7224
24510270805,"Mid-Govans, Baltimore, MD",0.722
24005450800,"Essex, MD",0.7219
24510080600,"Broadway East, Baltimore, MD",0.7211
24510250206,"Morrell Park, Baltimore, MD",0.7205
24031701601,"Silver Spring, MD",0.7205
24510271801,"Arlington, Baltimore, MD",0.7204
24510160600,"Mosher, Baltimore, MD",0.7199
24510271600,"Edgecomb, Baltimore, MD",0.7198
24510130300,"Penn North, Baltimore, MD",0.7196
24510272004,"Cheswolde, Baltimore, MD",0.7193
24510271101,"Radnor - Winston, Baltimore, MD",0.7188
24510080102,"Belair - Edison, Baltimore, MD",0.7185
24031703208,"Silver Spring, MD",0.7182
24510120300,"Harwood, Baltimore, MD",0.7178
24510160801,"Edmondson, Baltimore, MD",0.7175
24510280301,"Gwynn Oak, Baltimore, MD",0.7171
24510280102,"Gwynn Oak, Baltimore, MD",0.7167
24510120400,"Barclay, Baltimore, MD",0.7159
24510130600,"Hampden, Baltimore, MD",0.7156
24510260403,"Cedonia, Baltimore, MD",0.7154
24510260202,"Parkside, Baltimore, MD",0.715
24510160802,"Edmondson, Baltimore, MD",0.7146
24005430900,"Baltimore, MD",0.7142
24510271001,"Baltimore, MD",0.7139
24510271900,"Glen, Baltimore, MD",0.7129
24005451500,"Middle River, MD",0.7117
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.7111
24003750102,"Baltimore, MD",0.7108
24510260700,"Fifteenth Street, Baltimore, MD",0.7108
24510151300,"Central Park Heights, Baltimore, MD",0.7102
24510271802,"Langston Hughes, Baltimore, MD",0.71
24005421102,"Dundalk, MD",0.7097
24510010300,"Canton, Baltimore, MD",0.7097
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.7097
24510130700,"Hampden, Baltimore, MD",0.7092
